Date : 2025-03-31 18:58:08
Directory : d:\examples\blog\src
Total : 596 files,  100781 codes, 10018 comments, 16692 blanks, all 127491 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| JavaScript      |        226 |     54,960 |      6,868 |      9,675 |     71,503 |
| HTML            |        127 |     13,347 |         86 |      2,327 |     15,760 |
| CSS             |         70 |     13,315 |        639 |      2,089 |     16,043 |
| Java            |        130 |      9,621 |      2,251 |      1,821 |     13,693 |
| SCSS            |         16 |      4,041 |         80 |        505 |      4,626 |
| XML             |          7 |      3,603 |          9 |          8 |      3,620 |
| JSON            |          6 |      1,059 |          0 |         12 |      1,071 |
| Markdown        |          5 |        572 |          0 |        196 |        768 |
| MS SQL          |          4 |        139 |         46 |         37 |        222 |
| YAML            |          4 |        117 |         36 |         19 |        172 |
| Java Properties |          1 |          7 |          3 |          3 |         13 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        596 |    100,781 |     10,018 |     16,692 |    127,491 |
| main                                                                                                                   |        593 |    100,757 |      9,995 |     16,684 |    127,436 |
| main\java                                                                                                              |        128 |      9,612 |      2,230 |      1,815 |     13,657 |
| main\java\com                                                                                                          |        128 |      9,612 |      2,230 |      1,815 |     13,657 |
| main\java\com\kitty                                                                                                    |        128 |      9,612 |      2,230 |      1,815 |     13,657 |
| main\java\com\kitty\blog                                                                                               |        128 |      9,612 |      2,230 |      1,815 |     13,657 |
| main\java\com\kitty\blog (Files)                                                                                       |          1 |         13 |          0 |          5 |         18 |
| main\java\com\kitty\blog\aspect                                                                                        |          1 |         21 |          1 |          6 |         28 |
| main\java\com\kitty\blog\component                                                                                     |          1 |         57 |          0 |         13 |         70 |
| main\java\com\kitty\blog\component\sql                                                                                 |          1 |         57 |          0 |         13 |         70 |
| main\java\com\kitty\blog\config                                                                                        |         10 |        417 |         45 |         84 |        546 |
| main\java\com\kitty\blog\controller                                                                                    |         23 |      3,415 |        840 |        344 |      4,599 |
| main\java\com\kitty\blog\controller\common                                                                             |          2 |        343 |        125 |         36 |        504 |
| main\java\com\kitty\blog\controller\constant                                                                           |          2 |         23 |          0 |         18 |         41 |
| main\java\com\kitty\blog\controller\post                                                                               |          8 |      1,292 |        355 |        118 |      1,765 |
| main\java\com\kitty\blog\controller\user                                                                               |         11 |      1,757 |        360 |        172 |      2,289 |
| main\java\com\kitty\blog\controller\user (Files)                                                                       |          9 |      1,643 |        352 |        153 |      2,148 |
| main\java\com\kitty\blog\controller\user\security                                                                      |          2 |        114 |          8 |         19 |        141 |
| main\java\com\kitty\blog\dto                                                                                           |         12 |        276 |          7 |         99 |        382 |
| main\java\com\kitty\blog\dto\category                                                                                  |          2 |         43 |          2 |         15 |         60 |
| main\java\com\kitty\blog\dto\comment                                                                                   |          2 |         48 |          2 |         13 |         63 |
| main\java\com\kitty\blog\dto\common                                                                                    |          1 |         17 |          0 |          8 |         25 |
| main\java\com\kitty\blog\dto\message                                                                                   |          2 |         74 |          3 |         19 |         96 |
| main\java\com\kitty\blog\dto\user                                                                                      |          4 |         80 |          0 |         36 |        116 |
| main\java\com\kitty\blog\dto\userRole                                                                                  |          1 |         14 |          0 |          8 |         22 |
| main\java\com\kitty\blog\exception                                                                                     |          1 |          9 |          0 |          2 |         11 |
| main\java\com\kitty\blog\model                                                                                         |         26 |      1,392 |         73 |        362 |      1,827 |
| main\java\com\kitty\blog\model (Files)                                                                                 |          9 |        625 |         35 |        168 |        828 |
| main\java\com\kitty\blog\model\category                                                                                |          3 |        142 |         13 |         36 |        191 |
| main\java\com\kitty\blog\model\message                                                                                 |          2 |         94 |          5 |         24 |        123 |
| main\java\com\kitty\blog\model\report                                                                                  |          2 |         88 |          5 |         24 |        117 |
| main\java\com\kitty\blog\model\rolePermission                                                                          |          2 |         71 |          0 |         20 |         91 |
